timestamp,exchange,symbol,mark_price,funding_rate
2026-06-29 00:04:12,Delta,BTCUSD,59605.2236277,0.00936108203035841
2026-06-29 00:04:12,Pi42,BTCINR,5671711.0,
2026-06-29 00:04:18,Delta,BTCUSD,59605.2236277,0.00936108203035841
2026-06-29 00:04:18,Pi42,BTCINR,5671378.0,
2026-06-29 00:04:23,Delta,BTCUSD,59613.79729308,0.00936108203035841
2026-06-29 00:04:24,Pi42,BTCINR,5671026.0,
2026-06-29 00:04:29,Delta,BTCUSD,59605.2236277,0.00936108203035841
2026-06-29 00:04:30,Pi42,BTCINR,5672539.0,
2026-06-29 00:04:35,Delta,BTCUSD,59605.2236277,0.00936108203035841
2026-06-29 00:04:36,Pi42,BTCINR,5670493.0,
